product_id,food,maker,address,name_id,similar_name
PR00001067,상큼한 샐러드나 신선한 연어회,선인양조,경기도 양주시 가래비9길 12-29,R_001,C_097
PR00001066,닭튀김이나 통삼겹구이같은 기름진 음식과 함께 하면 느끼함을 싹 잡아줍니다.,(주)농업회사법인 온지술도가,서울특별시 은평구,R_002,
PR00001065,입맛을 돋우는 산미도 맛있게 올라오기 때문에 기름진 방어나 신선한 석화와 같이 겨울철 해산물과도 잘 어울립니다.,백년주조,경상북도 김천시 영남대로 1322,R_003,C_017
PR00001064,"LA갈비, 소불고기, 매운탕, 쭈꾸미 볶음",한국술도가,전라북도 정읍시 답곡길 60,R_004,S_147
PR00001063,"김치잡채 김치잡채는 당면과 함께 김치를 넣어서 만드는데, 김치와 돼지고기, 각종야채가 들어가 담백하면서 아삭한 씹히는 맛이 막걸리의 맛을 살려준다.",오산양조,경기도 오산시 중앙동 시장길 63,R_005,R_135
PR00001062,"한식류 , 한정식 ",두술도가,경북 문경시 가은읍 가은5길 7,R_006,
PR00001061,상큼한 샐러드나 신선한 연어회,순천주조,전라남도 순천시 이수로 97,R_007,R_216
PR00001056,"김치두부, 부추전 ,해물전",대밭고을,경상남도 사천시 곤양면 후전길 16,R_008,
PR00001053,"전복구이 ,홍어무침, 김치찜, 빈대떡",해창주조장,전남 해남군 화산면 해창길 1,R_009,
PR00001048,"소고기구이 ,회무침 , 만두 .",몽타주조,서울특별시 강서구 강서로54길 107 (범한빌딩) 2층 몽타주조,R_010,
PR00001047,치즈와 궁합이 너무 좋습니다.,농업회사법인 ㈜별빛드리운못,청남도 홍성군 결성면 만해로115번길 62-11,R_011,
PR00001045,"떡볶이, 샐러드,치즈 등등 ",동강주조,"경기도 성남시 분당구 정자일로 95, NAVER 1784, 13561",R_012,
PR00001040,"김치잡채 김치잡채는 당면과 함께 김치를 넣어서 만드는데, 김치와 돼지고기, 각종야채가 들어가 담백하면서 아삭한 씹히는 맛이 막걸리의 맛을 살려준다.",금정산성 토산주,부산 금정구 산성로 453,R_013,R_135
PR00001038,"보쌈,두부김치,골뱅이무침,파전 등등 .",금오도섬마을,전남 여수시 대유윗길47,R_014,
