name_id,features
R_001,"삼해주은(는) 고려 시대부터 이어져 온 서울지역의 전통주입니다. 원래 궁중에서 의식이나 행사 사용하거나 사대부 집안의 가양주로 애용되다가 조선시대에 큰 사랑을 받았습니다. 15도 도수가 느껴지지 않을 만큼 부드러우며 단맛, 신맛 등이 적당히 잘 어우러지고 뒷맛도 깔끔합니다."
R_002,온지오은(는) 손으로 직접 짜내어 주질이 부드러운 서촌 막걸리의 특징 그대로 목 넘김이 깔끔해서 가벼운 느낌으로 즐길 수 있습니다.
R_003,벼리은(는) 저온 숙성과정에 알코올을 일부 증발시켜 풍미를 가득 담았습니다.부드러운 목넘김과 깊고 상쾌한 맛을 느낄 수 있습니다.
R_004,"월탁은(는) 막걸리 제조 과장 중 인공 첨가제나 과일을 넣지 않았음에도 과일향을 느끼실 수 있습니다.마시는 사람이 어떤 과일을 생각하는지에 따라 잔 안에 가득히 퍼지는 과일향이 다르게 느껴지며,달큰한 과일향이 후각을 자극합니다."
R_005,경기 쌀 막걸리은(는) 국내산 세마쌀을 100%원료로 합성 첨가물 없이 순수 재료로 깨끗하고 정직하게 만들어 깔끔하고 깊은 맛을 느끼실 수 있습니다.
R_006,"희양산 생막걸리 9도은(는) 담백하고 깔끔한 맛이 특징으로,단맛과 신맛,알코올이 균형을 갖춘 술입니다."
R_007,"하늘담6 생막걸리은(는) 구수하고 달달한 맛에 살짝 쏘는 탄산감이 좋은, 전통 생막걸리의 진수입니다."
R_008,"대담 13의 대나무잎에는 플라보노이드 성분이 많이 함유되어 있어 항산화, 항노화 및 항균 활성 작용을 합니다.
마지막 목넘김까지 대잎의 고유의 향미를 느낄 수 있습니다."
R_009,"해창 생막걸리은(는) 땅끝마을 해남에서 온 프리미엄 생 막걸리 찹쌀과 멥쌀 그리고 물,원재료의 고요한 맛과 향을 그대로 담아 자연 발효로 장기간 숙성시켜 만듭니다."
R_010,"서울야행은(는) 오직 쌀, 물, 직접 제조한 누룩으로만 담근 100% 순곡주입니다."
R_011,달은(는) 새콤하고 달콤하며 쌉싸름한 맛이 조화를 이루고 곡식향과 천연 탄산 감이 어우러진 우리 술 백미 탁주입니다.
R_012,얼떨결에 옐로은(는) 기존의 묵직한 바디감의 막걸리들 과 달리 청량하고 가볍습니다.
R_013,청탁막걸리은(는) 100% 우리쌀로 만들어  더 건강하고 깊은 풍미를 느낄 수 있는 막걸리입니다.
