name,ingredients,name_id
삼해주,양주쌀,R_001
삼해주,누룩,R_001
삼해주,정제수,R_001
온지오,정제수,R_002
온지오,찹쌀,R_002
온지오,건오미자,R_002
온지오,고구마,R_002
온지오,감자,R_002
온지오,누룩,R_002
벼리,쌀,R_003
월탁,쌀,R_004
월탁,정제수,R_004
월탁,누룩,R_004
경기 쌀 막걸리,물,R_005
경기 쌀 막걸리,쌀,R_005
경기 쌀 막걸리,국,R_005
경기 쌀 막걸리,효모,R_005
경기 쌀 막걸리,밀,R_005
희양산 생막걸리 9도,쌀,R_006
희양산 생막걸리 9도,효모,R_006
희양산 생막걸리 9도,누록,R_006
희양산 생막걸리 9도,정제수,R_006
하늘담6 생막걸리,햅쌀,R_007
대담 13,쌀,R_008
대담 13,전통,R_008
대담 13,누룩,R_008
대담 13,물,R_008
대담 13,대잎,R_008
해창 생막걸리,정제수,R_009
해창 생막걸리,찹쌀,R_009
해창 생막걸리,멥쌀,R_009
해창 생막걸리,입국,R_009
해창 생막걸리,곡자,R_009
해창 생막걸리,밀합유,R_009
해창 생막걸리,효모,R_009
서울야행,정제수,R_010
서울야행,쌀,R_010
서울야행,누룩,R_010
서울야행,밀,R_010
달,찹쌀,R_011
달,우리밀,R_011
달,누룩,R_011
달,암반수,R_011
달,약산샘물,R_011
얼떨결에 옐로,쌀,R_012
얼떨결에 옐로,좁쌀,R_012
얼떨결에 옐로,옥수수,R_012
얼떨결에 옐로,정제수,R_012
얼떨결에 옐로,정제효모,R_012
얼떨결에 옐로,효모,R_012
얼떨결에 옐로,기타과당,R_012
얼떨결에 옐로,곡자,R_012
얼떨결에 옐로,밀,R_012
청탁막걸리,정제수,R_013
청탁막걸리,쌀,R_013
청탁막걸리,곡자,R_013
청탁막걸리,아스파탐밀,R_013
방풍 막걸리,정제수,R_014
방풍 막걸리,쌀,R_014
방풍 막걸리,방풍,R_014
방풍 막걸리,누룩,R_014
방풍 막걸리,수크랄로스,R_014
온지몬,정제수,R_015
온지몬,찹쌀,R_015
온지몬,레몬청,R_015
온지몬,고구마,R_015
온지몬,감자,R_015
온지몬,누룩,R_015
까망토끼,쌀,R_016
까망토끼,흑미,R_016
까망토끼,오미자,R_016
까망토끼,조효소제,R_016
까망토끼,정제수,R_016
옹기 막걸리,정제수,R_017
옹기 막걸리,쌀가루,R_017
옹기 막걸리,백설탕,R_017
옹기 막걸리,활성건조효모,R_017
옹기 막걸리,국,R_017
옹기 막걸리,조효소제,R_017
옹기 막걸리,정제효소,R_017
옹기 막걸리,밀,R_017
딸기아랑주,정제수,R_018
딸기아랑주,쌀,R_018
딸기아랑주,돌배,R_018
딸기아랑주,딸기,R_018
딸기아랑주,조제종국,R_018
딸기아랑주,누룩,R_018
딸기아랑주,입국,R_018
딸기아랑주,스쿠랄로스,R_018
옛날 생동동주,물,R_019
옛날 생동동주,쌀,R_019
옛날 생동동주,쌀가루,R_019
옛날 생동동주,효모,R_019
옛날 생동동주,조제종국,R_019
옛날 생동동주,정제효소제,R_019
옛날 생동동주,아스파탐,R_019
짝꿍막걸리,정제수,R_020
짝꿍막걸리,쌀,R_020
짝꿍막걸리,국,R_020
짝꿍막걸리,효모,R_020
짝꿍막걸리,밀합유,R_020
에피소드,쌀,R_021
에피소드,사과,R_021
에피소드,꿀,R_021
에피소드,유자,R_021
에피소드,정제수,R_021
에피소드,누룩,R_021
에피소드,정백당,R_021
에피소드,로즈마리,R_021
낙안읍성,찹쌀,R_022
낙안읍성,맵쌀,R_022
낙안읍성,누룩,R_022
낙안읍성,천연암반수,R_022
생딸기 막걸리,햅쌀,R_023
생딸기 막걸리,쌀,R_023
